
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-2-1,8,4,0,5,0,-4,85,82,78,30.41,30.34,30.28,7,2,0,25,19,37,0.00,8,Snow,347<br />
2011-2-2,12,6,-1,0,-6,-9,72,65,55,30.68,30.60,30.49,10,10,10,18,13,28,0.00,0,,341<br />
2011-2-3,27,10,-6,12,2,-11,84,64,45,30.59,30.40,30.25,10,10,10,14,6,21,0.00,0,,223<br />
2011-2-4,37,22,7,25,13,2,85,68,54,30.22,30.04,29.84,10,10,10,13,7,17,0.00,0,,225<br />
2011-2-5,44,34,24,40,30,22,94,85,74,29.72,29.62,29.57,10,10,5,13,4,18,0.00,5,Rain,280<br />
2011-2-6,37,34,30,33,30,27,92,86,77,30.20,29.98,29.76,10,10,5,16,10,25,0.00,8,,352<br />
2011-2-7,28,22,16,24,16,11,85,76,65,30.26,30.21,30.11,10,10,10,15,9,24,0.00,7,Snow,3<br />
2011-2-8,8,4,0,4,-3,-6,85,75,67,30.56,30.47,30.31,10,6,1,21,14,23,0.01,8,Snow,27<br />
2011-2-9,21,11,1,6,1,-3,82,66,45,30.48,30.39,30.28,10,10,10,9,5,,0.00,2,,291<br />
2011-2-10,28,14,0,17,4,-5,79,68,59,30.23,30.09,30.00,10,10,10,12,8,,0.00,0,,244<br />
2011-2-11,47,32,17,32,22,13,83,70,54,30.12,30.04,29.99,10,10,10,14,7,23,0.00,1,,273<br />
2011-2-12,51,40,30,34,28,23,88,68,49,30.19,30.10,30.03,10,10,10,15,8,20,0.00,0,,247<br />
2011-2-13,62,48,34,41,34,29,87,66,39,30.01,29.85,29.75,10,10,10,15,8,22,0.00,0,,243<br />
2011-2-14,53,42,30,32,29,26,85,66,37,30.31,30.22,30.14,10,10,5,8,5,,0.00,0,,275<br />
2011-2-15,61,46,31,37,32,29,90,70,34,30.08,29.95,29.88,10,9,2,14,6,17,0.00,0,,211<br />
2011-2-16,67,47,27,47,35,27,96,67,34,29.93,29.75,29.55,10,10,7,17,4,24,0.00,0,,177<br />
2011-2-17,69,56,39,48,36,20,90,55,18,29.91,29.58,29.45,10,10,10,20,12,30,0.00,0,,256<br />
2011-2-18,57,40,24,30,23,18,91,57,24,30.25,30.17,30.03,10,10,10,9,3,,0.00,0,,227<br />
2011-2-19,53,42,32,41,34,28,85,71,53,30.21,30.09,29.93,10,10,7,13,5,21,0.00,4,,109<br />
2011-2-20,65,48,30,56,44,25,95,84,52,29.85,29.60,29.47,10,8,4,22,10,31,0.00,6,,192<br />
2011-2-21,29,20,12,13,9,4,75,61,46,30.11,29.96,29.81,10,10,10,18,13,30,0.00,0,,325<br />
2011-2-22,43,26,10,18,13,8,90,66,34,30.18,30.11,30.00,10,10,10,13,3,17,0.00,0,,166<br />
2011-2-23,54,38,23,29,25,20,93,65,35,29.96,29.88,29.83,10,10,10,12,6,16,0.00,0,,43<br />
2011-2-24,29,24,17,26,22,14,96,90,82,30.11,30.03,29.94,10,7,0,21,14,28,0.02,7,Snow,27<br />
2011-2-25,15,12,10,13,8,5,88,79,74,30.28,30.22,30.12,10,8,0,14,9,20,0.00,8,Snow,27<br />
2011-2-26,27,20,13,26,18,12,96,93,90,30.11,29.90,29.76,7,3,1,8,3,,0.00,8,Snow,123<br />
2011-2-27,34,31,28,32,30,26,100,94,78,29.82,29.65,29.53,10,4,0,20,4,30,0.00,7,Fog,32<br />
2011-2-28,35,24,14,25,18,11,88,73,57,30.24,30.15,29.90,10,10,10,14,8,23,0.00,0,,304<br />
