
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2012-2-1,51,40,28,18,11,1,55,35,14,30.18,30.08,29.99,10,10,10,14,8,,0.00,5,,177<br />
2012-2-2,41,34,28,32,20,12,100,64,31,30.05,29.97,29.87,10,6,1,18,10,,0.15,7,Snow,327<br />
2012-2-3,28,26,24,28,26,25,100,100,100,30.47,30.29,30.06,2,1,1,21,16,,0.90,8,Snow,343<br />
2012-2-4,28,21,12,27,21,12,100,98,86,30.55,30.51,30.40,10,6,2,16,9,,0.08,6,Snow,351<br />
2012-2-5,32,21,10,21,15,10,100,88,59,30.51,30.41,30.26,7,7,7,12,8,,0.00,2,,174<br />
2012-2-6,32,23,14,25,18,12,100,80,55,30.35,30.24,30.17,10,7,5,14,8,,0.01,6,Snow,301<br />
2012-2-7,21,18,14,21,18,10,100,94,80,30.49,30.39,30.21,10,6,2,10,7,,0.14,6,Snow,79<br />
2012-2-8,32,21,10,25,16,9,100,82,54,30.34,30.26,30.16,10,10,7,9,5,,0.00,6,,203<br />
2012-2-9,39,31,19,30,20,14,86,69,64,30.27,30.19,30.10,10,10,10,15,8,,0.00,5,,150<br />
2012-2-10,37,27,17,23,18,10,100,81,38,30.31,30.23,30.15,10,8,3,14,10,,0.00,5,Snow,114<br />
2012-2-11,17,12,6,18,11,5,100,94,79,30.49,30.36,30.21,10,7,1,18,9,,0.00,6,Snow,24<br />
2012-2-12,24,15,6,21,14,5,100,96,80,30.22,29.95,29.73,10,8,7,9,2,,0.00,6,,32<br />
2012-2-13,35,30,24,32,27,23,100,91,70,29.83,29.74,29.61,10,6,0,12,5,,0.00,4,Fog,160<br />
2012-2-14,41,31,21,32,24,18,100,79,45,29.82,29.75,29.62,10,10,10,10,7,,0.00,2,,157<br />
2012-2-15,30,24,19,28,23,16,100,91,80,30.18,30.01,29.83,10,9,7,13,7,,0.00,5,,136<br />
2012-2-16,39,27,15,30,20,12,100,73,48,30.27,30.18,30.10,10,10,10,13,7,,0.00,2,,173<br />
2012-2-17,37,29,19,23,15,5,100,62,38,30.25,30.13,30.06,10,10,10,14,9,,0.00,4,,124<br />
2012-2-18,39,28,17,25,19,14,100,70,38,30.19,30.03,29.84,10,10,10,15,9,,0.00,2,,173<br />
2012-2-19,46,35,24,28,21,9,100,68,27,29.84,29.67,29.53,10,10,10,14,7,24,0.00,6,,266<br />
2012-2-20,35,30,24,30,16,1,100,65,27,29.94,29.77,29.58,7,4,2,25,14,33,0.03,6,Snow,319<br />
2012-2-21,44,34,23,23,15,7,55,43,31,29.93,29.82,29.70,,,,22,13,34,0.00,5,,277<br />
2012-2-22,57,46,35,32,23,18,60,39,25,29.71,29.53,29.28,,,,31,9,43,0.00,6,,269<br />
2012-2-23,42,28,15,37,22,7,100,83,51,30.17,29.79,29.33,10,5,0,45,17,54,0.20,7,Fog-Rain-Snow,335<br />
2012-2-24,32,22,12,16,9,1,68,51,38,30.26,30.21,30.13,10,10,10,20,12,25,0.00,2,,186<br />
2012-2-25,59,42,24,18,13,7,64,37,13,30.12,29.75,29.49,,,,31,13,40,0.00,1,,214<br />
2012-2-26,37,29,21,16,7,-2,80,43,19,30.23,29.99,29.73,,,,28,13,37,0.00,1,,329<br />
2012-2-27,44,32,21,27,14,1,70,46,27,30.22,29.98,29.76,,,,40,22,52,0.00,1,,161<br />
2012-2-28,42,34,26,36,23,9,100,66,33,29.78,29.59,29.44,10,7,2,30,14,43,0.00,4,Snow,256<br />
2012-2-29,51,38,24,21,11,3,50,31,17,29.89,29.77,29.62,10,10,10,24,13,34,0.00,2,,167<br />
