
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2012-12-1,64,52,39,25,23,21,49,35,19,29.93,29.86,29.75,,,,17,7,29,0.00,6,,238<br />
2012-12-2,68,52,37,19,13,1,45,24,7,29.96,29.74,29.53,,,,21,10,,0.00,6,,210<br />
2012-12-3,57,44,32,27,15,7,49,32,16,30.15,29.91,29.52,,,,18,12,26,0.00,4,,85<br />
2012-12-4,57,40,24,18,13,9,64,37,16,30.36,30.22,30.09,,,,12,7,,0.00,5,,197<br />
2012-12-5,68,56,44,27,23,16,40,31,18,30.07,29.87,29.72,,,,21,10,18,0.00,6,,230<br />
2012-12-6,48,40,32,32,29,25,87,60,40,29.97,29.86,29.76,10,10,10,14,9,,0.00,5,,134<br />
2012-12-7,51,40,26,27,21,16,80,57,24,29.97,29.84,29.76,,,,21,10,29,0.00,6,,143<br />
2012-12-8,51,37,23,21,18,9,93,59,19,29.89,29.75,29.55,7,5,3,22,10,33,0.03,5,Snow,104<br />
2012-12-9,23,14,5,9,2,-4,72,57,42,30.49,30.18,29.88,7,7,7,22,11,31,0.00,4,,43<br />
2012-12-10,35,22,8,23,7,-4,100,52,30,30.10,30.00,29.90,7,4,2,18,11,,0.00,5,Snow,264<br />
2012-12-11,39,26,14,19,14,10,93,65,33,30.05,29.95,29.81,10,8,4,13,8,,0.02,4,Snow,175<br />
2012-12-12,55,42,28,16,13,10,51,34,17,29.84,29.78,29.68,,,,20,12,,0.00,3,,195<br />
2012-12-13,55,44,32,18,12,5,55,34,14,29.98,29.89,29.80,,,,17,9,,0.00,5,,216<br />
2012-12-14,44,34,24,23,16,12,64,48,36,29.79,29.63,29.47,10,10,10,16,8,,0.00,5,,224<br />
2012-12-15,44,35,26,27,20,16,100,57,34,29.73,29.68,29.59,10,10,10,13,7,,0.00,5,,232<br />
2012-12-16,42,28,15,27,17,3,100,67,31,30.10,29.74,29.65,7,1,0,15,5,,0.00,5,Fog,255<br />
2012-12-17,50,37,24,16,12,7,50,37,24,29.76,29.65,29.55,,,,22,12,34,0.00,2,,224<br />
2012-12-18,44,34,23,23,19,14,100,62,36,29.77,29.69,29.60,10,10,10,21,9,25,0.00,5,,137<br />
2012-12-19,23,16,8,21,12,0,93,83,58,30.29,29.92,29.66,10,5,1,26,14,36,0.12,6,Snow,344<br />
2012-12-20,44,25,6,10,5,-4,67,42,21,30.35,30.28,30.21,,,,16,11,,0.00,1,,218<br />
2012-12-21,44,35,26,19,8,1,39,32,21,30.22,30.13,30.02,10,10,10,16,10,,0.00,3,,187<br />
2012-12-22,48,37,26,19,8,1,47,32,20,30.05,29.98,29.86,10,10,10,15,9,,0.00,3,,167<br />
2012-12-23,51,40,28,21,10,-2,64,35,19,29.95,29.89,29.84,10,10,10,20,12,,0.00,2,,164<br />
2012-12-24,33,25,15,23,17,14,100,72,48,29.98,29.81,29.69,10,4,1,18,9,,0.09,7,Snow,325<br />
2012-12-25,15,8,0,12,2,-4,93,82,62,30.36,30.23,30.00,10,7,2,10,7,,0.10,4,Snow,107<br />
2012-12-26,24,12,1,14,7,0,92,83,59,30.14,29.91,29.75,10,9,7,7,5,,0.00,4,,266<br />
2012-12-27,28,17,6,19,12,3,100,82,64,29.97,29.86,29.75,10,9,6,13,7,,0.00,5,,156<br />
2012-12-28,30,19,8,14,6,-2,92,63,37,30.24,30.10,29.97,10,10,10,13,7,,0.00,4,,177<br />
2012-12-29,37,24,10,16,3,-6,73,50,26,30.25,30.15,29.95,10,10,10,14,9,,0.00,3,,221<br />
2012-12-30,41,26,12,21,8,-2,74,53,30,30.19,30.01,29.90,10,10,10,16,8,,0.00,6,,164<br />
2012-12-31,24,17,10,14,12,7,93,80,64,30.17,30.07,29.99,10,10,10,8,4,,0.00,6,,134<br />
