
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-2-1,48,36,24,19,16,14,64,48,25,30.20,30.09,29.98,10,10,10,28,9,37,0.00,2,,241<br />
2013-2-2,57,40,23,19,14,3,80,47,11,30.37,30.26,30.16,10,10,10,16,11,22,0.00,1,,173<br />
2013-2-3,53,40,26,18,12,1,64,36,12,30.19,29.99,29.85,10,10,10,10,6,,0.00,5,,229<br />
2013-2-4,53,40,26,12,7,1,51,30,12,29.97,29.89,29.81,,,,18,9,29,0.00,4,,226<br />
2013-2-5,59,44,30,16,14,12,48,32,17,30.01,29.89,29.75,,,,23,9,29,0.00,4,,175<br />
2013-2-6,55,44,32,34,23,16,100,56,25,30.04,29.84,29.72,10,8,3,16,7,21,0.06,6,Rain-Snow,80<br />
2013-2-7,46,34,23,30,23,14,100,69,27,30.22,30.10,29.99,10,9,5,25,8,31,0.02,2,Snow,179<br />
2013-2-8,53,42,30,21,18,14,60,46,22,29.96,29.80,29.64,10,10,10,20,13,33,0.00,2,,198<br />
2013-2-9,33,27,21,32,22,14,100,76,56,29.73,29.60,29.52,10,7,2,17,8,,0.00,5,Snow,333<br />
2013-2-10,33,25,17,19,14,7,93,65,35,30.11,29.84,29.56,10,8,7,24,8,28,0.00,6,,19<br />
2013-2-11,28,21,14,14,12,9,86,69,51,30.15,30.09,30.02,10,9,7,14,6,,0.00,6,,223<br />
2013-2-12,39,26,14,12,2,-9,86,45,12,30.14,30.09,30.04,10,10,10,10,7,,0.00,1,,190<br />
2013-2-13,46,34,21,12,8,1,54,39,22,30.05,29.98,29.94,,,,25,10,36,0.00,4,,227<br />
2013-2-14,39,28,17,23,18,12,93,73,41,30.36,30.19,29.99,10,6,1,30,10,37,0.02,7,Snow,77<br />
2013-2-15,35,24,12,18,13,9,86,65,35,30.43,30.35,30.23,10,8,7,21,9,30,0.00,5,Snow,162<br />
2013-2-16,55,39,23,14,10,7,68,34,15,30.24,30.09,29.91,10,8,7,22,11,28,0.00,1,,242<br />
2013-2-17,60,45,26,21,1,-15,80,25,4,29.90,29.67,29.44,10,10,10,24,13,29,0.00,5,,208<br />
2013-2-18,41,29,17,21,10,-4,93,53,16,30.15,29.97,29.73,7,6,5,25,8,32,0.00,3,Snow,74<br />
2013-2-19,41,28,14,12,9,3,62,47,29,30.12,29.98,29.76,,,,17,7,,0.00,5,,235<br />
2013-2-20,35,26,17,32,21,9,100,85,60,29.79,29.71,29.59,10,3,0,18,7,,0.11,8,Fog-Snow,65<br />
2013-2-21,21,16,10,19,14,9,100,95,80,30.03,29.85,29.69,10,5,1,13,7,,0.21,7,Snow,345<br />
2013-2-22,28,19,10,19,14,9,92,78,59,30.04,29.99,29.93,10,10,10,13,9,,0.00,3,,149<br />
2013-2-23,41,28,14,28,17,5,100,64,42,29.90,29.73,29.61,10,9,7,18,10,,0.00,5,Snow,159<br />
2013-2-24,26,22,17,27,25,18,100,100,100,30.17,29.90,29.68,7,2,0,28,14,34,0.86,8,Fog-Snow,353<br />
2013-2-25,32,19,6,23,11,0,100,74,41,30.18,30.07,29.86,7,6,3,14,6,,0.00,1,,176<br />
2013-2-26,30,24,17,27,19,7,100,85,63,30.19,29.95,29.82,10,3,0,24,8,30,0.03,7,Fog-Snow,345<br />
2013-2-27,32,24,14,16,10,5,80,62,32,30.36,30.29,30.21,10,10,7,13,8,,0.00,2,,170<br />
2013-2-28,39,26,14,18,9,1,68,49,26,30.37,30.29,30.19,,,,16,8,,0.00,4,,226<br />
