
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2009-1-1,55,46,37,19,14,9,48,29,18,29.79,29.70,29.61,7,7,7,23,9,25,0.00,6,,318<br />
2009-1-2,62,50,39,21,17,10,45,30,13,29.73,29.54,29.32,7,7,7,23,15,29,0.00,5,,189<br />
2009-1-3,44,30,14,25,18,10,93,73,39,30.23,29.77,29.32,10,7,5,20,11,,0.00,6,Snow,52<br />
2009-1-4,23,16,10,10,8,5,86,75,54,30.40,30.29,30.13,10,8,6,17,8,,0.00,5,Snow,151<br />
2009-1-5,44,27,10,10,4,-6,79,42,12,30.16,29.78,29.57,7,7,7,20,9,34,0.00,4,,245<br />
2009-1-6,41,32,24,12,7,3,46,34,21,29.78,29.70,29.57,,,,30,13,38,0.00,5,,282<br />
2009-1-7,53,42,32,21,19,12,44,35,26,29.79,29.67,29.56,7,7,7,33,19,47,0.00,6,,287<br />
2009-1-8,60,48,35,23,20,16,56,37,20,29.88,29.76,29.61,7,7,7,21,8,21,0.00,2,,207<br />
2009-1-9,42,30,17,27,20,14,86,64,31,30.40,30.03,29.59,10,8,7,37,12,40,0.00,5,,33<br />
2009-1-10,42,30,17,12,9,3,74,44,22,30.37,30.32,30.27,7,7,7,17,9,23,0.00,4,,236<br />
2009-1-11,44,34,24,19,13,10,64,40,27,30.32,30.19,30.03,7,7,7,28,11,31,0.00,5,,244<br />
2009-1-12,39,27,15,27,18,9,100,75,39,30.48,30.29,29.99,7,4,0,26,14,33,0.20,6,Fog-Snow,331<br />
2009-1-13,46,34,21,21,17,12,68,53,37,30.26,30.16,30.06,7,7,7,17,10,,0.00,5,,233<br />
2009-1-14,42,35,26,27,22,16,93,65,46,30.30,30.22,30.11,7,7,7,16,9,,0.00,4,,153<br />
2009-1-15,44,34,24,32,25,21,100,81,43,30.45,30.36,30.24,10,3,0,13,6,,0.00,5,Fog,166<br />
2009-1-16,59,44,30,21,15,10,69,39,15,30.40,30.28,30.17,7,7,7,13,10,,0.00,1,,210<br />
2009-1-17,55,44,32,18,13,9,51,35,16,30.44,30.31,30.17,7,7,7,14,6,18,0.00,2,,172<br />
2009-1-18,59,46,32,12,8,-2,38,26,8,30.45,30.34,30.24,7,7,7,14,10,30,0.00,2,,250<br />
2009-1-19,62,48,33,16,10,5,38,25,10,30.38,30.30,30.19,10,9,7,39,9,50,0.00,1,,328<br />
2009-1-20,66,49,32,18,5,-11,51,23,5,30.43,30.26,30.14,,,,14,7,,0.00,0,,218<br />
2009-1-21,69,52,35,12,1,-15,29,17,4,30.13,30.01,29.90,7,7,7,15,9,,0.00,1,,211<br />
2009-1-22,64,52,41,32,24,14,57,38,24,29.93,29.87,29.81,,,,12,7,,0.00,6,,187<br />
2009-1-23,44,30,17,32,19,14,93,73,51,30.45,30.22,29.89,10,8,2,16,10,,0.00,7,Snow,77<br />
2009-1-24,46,32,17,27,20,16,100,78,46,30.35,30.09,29.89,10,8,7,13,5,,0.00,4,,359<br />
2009-1-25,17,14,10,18,13,9,100,93,85,30.08,29.98,29.80,10,4,1,13,5,,0.01,7,Snow,34<br />
2009-1-26,10,6,3,9,3,0,92,86,85,30.34,30.13,29.93,7,4,1,14,8,,0.09,8,Snow,345<br />
2009-1-27,26,10,-5,12,-1,-9,92,68,34,30.35,30.14,29.88,10,7,2,20,6,26,0.08,3,Snow,228<br />
2009-1-28,37,30,19,12,10,5,63,43,33,30.26,30.07,29.95,,,,29,14,39,0.00,5,,287<br />
2009-1-29,37,26,15,9,6,3,73,41,26,30.35,30.25,30.17,7,7,7,15,7,23,0.00,2,,235<br />
2009-1-30,55,40,24,18,13,9,54,37,18,30.35,30.25,29.73,10,8,7,15,9,,0.00,1,,188<br />
2009-1-31,60,45,30,12,4,-4,44,22,8,30.06,29.92,29.81,7,7,7,23,11,31,0.00,3,,254<br />
