
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-1-1,39,29,19,23,14,1,80,57,32,30.33,30.23,30.10,7,7,7,14,7,,0.00,5,,174<br />
2010-1-2,41,28,15,27,21,16,100,74,49,30.25,30.11,29.98,,,,10,6,,0.00,5,,176<br />
2010-1-3,32,26,19,28,23,16,100,82,59,30.44,30.33,30.18,7,7,7,10,7,,0.00,6,Snow,139<br />
2010-1-4,37,27,17,19,15,12,100,69,38,30.44,30.35,30.21,7,7,7,13,9,,0.00,2,,169<br />
2010-1-5,46,36,26,25,21,16,64,52,34,30.17,30.03,29.88,,,,17,10,24,0.00,6,,223<br />
2010-1-6,39,20,-4,25,11,-8,100,82,49,30.56,30.19,29.84,7,3,0,22,10,26,0.11,7,Snow,67<br />
2010-1-7,14,4,-7,-2,-9,-13,85,64,38,30.67,30.59,30.53,7,7,7,12,7,,0.00,1,,148<br />
2010-1-8,35,16,-4,12,-3,-13,66,44,28,30.57,30.41,30.26,7,7,7,14,10,,0.00,1,,162<br />
2010-1-9,41,29,17,19,8,0,59,42,29,30.33,30.27,30.21,7,7,7,17,11,,0.00,1,,168<br />
2010-1-10,42,32,23,25,14,5,80,50,36,30.44,30.33,30.24,7,7,7,12,9,,0.00,4,,181<br />
2010-1-11,46,34,23,25,16,10,74,53,32,30.49,30.39,30.28,7,7,7,14,9,,0.00,2,,184<br />
2010-1-12,55,40,24,21,13,7,51,38,20,30.32,30.19,30.02,,,,15,9,,0.00,0,,186<br />
2010-1-13,53,42,32,23,16,9,64,39,21,30.04,29.98,29.88,7,7,7,13,8,,0.00,5,,156<br />
2010-1-14,42,34,24,28,22,18,93,66,42,30.28,30.16,30.01,,,,9,6,,0.00,5,,182<br />
2010-1-15,46,35,24,27,22,14,93,67,29,30.34,30.24,30.09,7,7,7,12,8,,0.00,2,,168<br />
2010-1-16,57,44,30,23,19,16,69,42,21,30.07,29.96,29.86,7,7,7,15,12,,0.00,5,,184<br />
2010-1-17,51,42,32,27,22,18,75,51,30,29.95,29.87,29.79,7,7,7,12,7,,0.00,6,,175<br />
2010-1-18,51,42,30,30,24,18,80,58,30,29.86,29.79,29.70,7,7,7,14,7,,0.00,4,,184<br />
2010-1-19,41,34,28,28,25,21,93,73,61,29.70,29.64,29.57,,,,12,5,,0.00,5,,189<br />
2010-1-20,33,28,24,21,18,14,74,64,48,29.65,29.56,29.51,,,,14,9,,0.00,4,,224<br />
2010-1-21,46,35,24,25,18,12,80,56,29,29.65,29.54,29.32,7,7,7,16,9,,0.00,5,,184<br />
2010-1-22,55,40,24,28,24,14,100,69,20,29.34,29.25,29.07,7,7,7,22,9,31,0.00,6,,188<br />
2010-1-23,42,33,24,21,11,7,74,43,25,29.60,29.46,29.28,7,7,7,18,8,24,0.00,6,,248<br />
2010-1-24,39,32,24,12,7,5,59,36,26,29.88,29.75,29.59,7,7,7,23,12,32,0.00,5,,292<br />
2010-1-25,37,30,24,14,9,1,64,43,28,30.08,29.94,29.81,7,7,7,20,14,28,0.00,3,,96<br />
2010-1-26,41,30,19,21,14,9,86,58,33,30.11,30.00,29.88,,,,13,8,,0.00,4,,197<br />
2010-1-27,41,32,23,27,22,18,100,74,45,30.33,30.16,29.94,7,5,2,14,8,,0.02,6,Snow,112<br />
2010-1-28,30,27,24,28,26,21,100,95,80,30.29,30.23,30.11,7,7,6,10,6,,0.00,7,Snow,342<br />
2010-1-29,42,30,19,27,18,7,100,71,25,30.18,30.10,30.03,7,6,0,8,4,,0.00,2,,223<br />
2010-1-30,51,36,21,21,14,10,64,48,21,30.12,30.02,29.93,7,7,7,12,7,,0.00,4,,185<br />
2010-1-31,39,32,24,21,20,19,86,68,45,29.96,29.89,29.82,7,7,7,12,7,,0.00,6,,270<br />
