
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-2-1,-4,-8,-13,-9,-15,-18,84,75,65,30.79,30.61,30.22,7,5,2,21,9,,0.03,6,Snow,19<br />
2011-2-2,5,-6,-16,-11,-15,-20,84,66,43,30.77,30.69,30.58,7,7,7,9,4,,0.00,2,,187<br />
2011-2-3,28,13,-2,27,11,-13,100,75,36,30.55,30.35,30.12,7,5,2,15,8,,0.05,6,Snow,239<br />
2011-2-4,37,27,17,32,23,14,100,81,52,30.27,30.08,29.83,7,7,4,15,7,,0.00,5,Snow,212<br />
2011-2-5,39,32,26,32,26,21,100,83,49,29.99,29.83,29.73,7,5,0,22,11,25,0.06,7,Snow,325<br />
2011-2-6,26,22,10,25,16,5,100,79,54,30.42,30.20,29.93,7,5,2,17,9,23,0.08,7,Snow,2<br />
2011-2-7,42,25,8,28,14,3,100,68,39,30.36,29.95,29.70,7,5,0,29,11,39,0.05,6,Fog-Snow,146<br />
2011-2-8,6,2,-4,3,-3,-9,85,81,66,30.57,30.32,29.99,7,3,1,22,12,29,0.34,7,Snow,11<br />
2011-2-9,19,6,-7,0,-5,-13,85,64,42,30.60,30.44,30.22,7,7,7,12,7,,0.00,1,,185<br />
2011-2-10,33,18,3,12,3,-6,66,49,29,30.39,30.14,30.06,,,,13,7,,0.00,4,,207<br />
2011-2-11,37,27,17,18,10,3,59,50,33,30.34,30.24,30.10,,,,13,7,,0.00,1,,176<br />
2011-2-12,50,37,24,19,13,9,51,37,25,30.25,30.21,30.09,,,,17,11,28,0.00,4,,230<br />
2011-2-13,59,47,35,23,15,1,52,32,10,30.17,30.00,29.87,,,,22,13,31,0.00,4,,172<br />
2011-2-14,57,46,35,30,21,16,81,44,24,30.15,30.00,29.85,,,,26,15,34,0.00,5,,179<br />
2011-2-15,64,50,35,27,16,10,44,28,12,30.04,29.89,29.72,,,,20,12,28,0.00,4,,192<br />
2011-2-16,62,50,39,21,15,3,36,25,14,29.70,29.58,29.40,,,,34,17,43,0.00,4,,218<br />
2011-2-17,50,40,26,25,17,10,64,41,23,30.08,29.71,29.41,,,,22,12,23,0.00,3,,29<br />
2011-2-18,53,40,26,18,15,10,64,40,21,30.08,30.03,29.93,,,,22,13,25,0.00,4,,175<br />
2011-2-19,64,48,32,36,24,16,66,44,21,30.04,29.79,29.37,,,,24,11,37,0.00,3,,175<br />
2011-2-20,46,32,19,36,15,-4,100,58,12,29.77,29.58,29.38,7,6,4,33,12,43,0.00,3,,208<br />
2011-2-21,44,28,12,19,12,3,100,60,18,29.95,29.85,29.71,7,7,7,13,6,20,0.00,2,,268<br />
2011-2-22,53,37,21,14,3,-9,63,31,8,29.90,29.79,29.69,,,,18,6,22,0.00,1,,156<br />
2011-2-23,51,38,24,16,10,-4,51,34,16,29.88,29.80,29.68,,,,28,12,37,0.00,2,,129<br />
2011-2-24,41,29,17,21,18,14,100,68,39,30.00,29.86,29.76,7,7,7,17,8,,0.00,6,,321<br />
2011-2-25,24,19,14,23,17,14,100,92,74,29.98,29.88,29.68,7,5,0,15,6,,0.00,7,Fog-Snow,42<br />
2011-2-26,55,38,21,23,15,10,93,40,17,29.66,29.54,29.44,7,7,7,25,15,34,0.00,2,,214<br />
2011-2-27,48,36,23,21,13,3,86,42,18,29.96,29.58,29.40,,,,16,9,17,0.00,4,,183<br />
2011-2-28,62,42,23,19,4,-9,86,31,5,30.05,29.99,29.94,,,,17,10,20,0.00,4,,175<br />
