
MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-6-1,68,54,41,37,33,28,76,47,26,30.13,30.06,29.96,10,10,10,23,9,29,0.00,3,,67<br />
2013-6-2,82,64,46,37,32,27,66,35,14,30.13,29.88,29.66,10,10,10,15,8,18,0.00,2,,180<br />
2013-6-3,89,73,57,32,26,16,34,19,7,29.76,29.62,29.55,,,,17,13,30,0.00,4,,249<br />
2013-6-4,73,60,48,55,46,25,100,67,25,30.26,29.95,29.75,10,7,2,22,8,32,0.27,6,Rain-Thunderstorm,27<br />
2013-6-5,57,50,44,48,46,45,100,89,67,30.25,30.13,30.06,10,9,2,12,7,,0.05,7,Rain-Thunderstorm,69<br />
2013-6-6,77,60,42,48,41,32,100,54,19,30.07,29.99,29.92,10,10,10,12,7,,0.00,2,,100<br />
2013-6-7,80,65,50,45,40,34,67,41,20,30.00,29.85,29.65,10,10,10,22,8,26,0.00,5,Thunderstorm,211<br />
2013-6-8,75,65,53,50,41,37,58,41,27,30.00,29.77,29.61,10,10,10,22,12,29,0.01,5,Rain,63<br />
2013-6-9,87,68,50,43,35,28,66,33,13,29.94,29.85,29.76,10,10,10,21,8,,0.00,1,,179<br />
2013-6-10,95,78,62,36,31,25,32,18,8,29.77,29.72,29.64,10,10,10,32,14,45,0.00,3,,195<br />
2013-6-11,96,80,64,34,23,10,32,15,4,29.78,29.66,29.57,,,,24,10,34,0.00,2,,235<br />
2013-6-12,91,75,59,32,26,21,30,16,8,29.97,29.88,29.81,10,9,3,25,10,34,0.00,4,,131<br />
2013-6-13,91,73,55,55,50,36,100,50,23,29.97,29.86,29.75,10,10,10,18,9,20,0.00,5,,289<br />
2013-6-14,86,76,66,46,39,28,49,28,13,29.80,29.76,29.69,10,10,10,28,16,37,0.00,6,,170<br />
2013-6-15,80,66,53,48,45,41,77,47,28,29.96,29.89,29.80,10,10,10,12,8,,0.00,3,,22<br />
2013-6-16,84,72,59,46,41,27,59,38,15,30.23,29.95,29.88,10,9,7,30,12,39,0.00,4,Rain-Thunderstorm,223<br />
2013-6-17,78,66,53,45,40,34,62,39,20,30.03,29.97,29.90,,,,15,5,,0.00,5,,205<br />
2013-6-18,86,70,53,57,47,39,94,51,22,30.06,29.90,29.78,10,10,10,22,11,26,0.07,4,Rain-Thunderstorm-Tornado,175<br />
2013-6-19,91,73,55,54,42,25,82,42,10,29.83,29.65,29.49,10,10,10,26,17,31,0.00,3,Thunderstorm,178<br />
2013-6-20,89,73,57,50,30,19,63,24,10,29.78,29.68,29.58,10,10,10,15,10,23,0.00,2,,59<br />
2013-6-21,95,75,55,55,36,7,82,36,4,29.76,29.68,29.59,10,10,10,20,8,23,0.00,3,,235<br />
2013-6-22,87,71,55,50,43,32,77,40,14,29.88,29.75,29.62,10,10,10,20,6,30,0.00,5,Rain-Thunderstorm,338<br />
2013-6-23,87,69,51,52,45,32,94,54,16,30.02,29.83,29.69,10,10,10,22,9,36,0.25,4,Rain-Thunderstorm,119<br />
2013-6-24,87,71,55,50,41,23,72,42,9,29.99,29.71,29.58,,,,23,11,21,0.00,5,Thunderstorm,161<br />
2013-6-25,89,76,62,41,33,23,37,23,11,29.86,29.74,29.64,,,,16,6,,0.00,3,,253<br />
2013-6-26,95,78,60,41,36,30,42,24,11,29.94,29.88,29.83,,,,14,8,,0.00,2,,160<br />
2013-6-27,95,80,64,45,39,34,42,25,12,30.06,30.00,29.90,10,10,10,16,9,20,0.00,1,,123<br />
2013-6-28,93,78,64,54,50,45,68,37,20,30.26,30.07,29.95,10,10,10,31,13,39,0.01,4,Rain-Thunderstorm,47<br />
2013-6-29,82,70,59,57,52,43,82,52,30,30.09,30.03,29.97,10,10,10,17,6,,0.00,4,,250<br />
2013-6-30,77,68,60,55,53,50,72,58,47,30.26,30.05,30.01,10,10,10,15,10,,0.00,6,Thunderstorm,226<br />
