
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2008-2-1,46,34,21,27,19,10,100,63,25,29.96,29.79,29.66,7,3,1,13,9,,0.18,6,Snow-Thunderstorm,98<br />
2008-2-2,32,22,12,25,17,9,93,80,60,30.07,29.95,29.79,7,7,3,17,9,,0.01,5,Snow,175<br />
2008-2-3,42,28,15,21,15,7,86,61,33,29.88,29.60,29.39,,,,24,9,32,0.00,5,,190<br />
2008-2-4,30,22,15,23,19,14,93,82,68,30.06,29.76,29.43,7,4,2,16,7,,0.07,7,Snow,31<br />
2008-2-5,23,14,6,14,10,3,93,80,59,30.18,30.12,30.00,10,4,2,14,7,,0.09,5,Snow,321<br />
2008-2-6,41,26,10,18,7,0,73,50,36,30.08,29.92,29.74,7,7,7,29,11,38,0.00,4,,237<br />
2008-2-7,42,26,10,25,9,-2,74,48,33,30.07,29.85,29.69,,,,23,9,28,0.00,4,,234<br />
2008-2-8,35,30,26,18,10,3,64,41,28,29.95,29.87,29.73,7,7,7,28,14,37,0.00,4,Snow,295<br />
2008-2-9,51,38,26,21,15,9,48,39,26,30.17,30.05,29.96,,,,21,8,29,0.00,3,,279<br />
2008-2-10,51,40,28,21,18,16,60,44,24,30.22,30.10,29.91,,,,13,7,,0.00,5,,193<br />
2008-2-11,50,39,26,27,20,14,86,54,27,30.11,29.96,29.83,7,6,1,31,13,40,0.00,6,Snow,312<br />
2008-2-12,42,34,26,25,21,18,80,63,39,30.15,30.08,29.99,7,7,7,15,9,23,0.00,5,,139<br />
2008-2-13,62,46,30,28,21,16,87,45,17,29.94,29.60,29.34,7,7,7,24,13,39,0.00,3,,175<br />
2008-2-14,32,24,15,30,19,12,100,88,74,30.25,29.95,29.60,10,6,2,17,7,22,0.18,7,Rain-Snow,11<br />
2008-2-15,41,28,14,28,21,10,100,79,57,30.34,30.23,30.12,10,9,6,8,3,,0.00,2,,136<br />
2008-2-16,53,38,24,27,20,5,86,56,16,30.09,29.83,29.66,,,,22,9,28,0.00,3,,147<br />
2008-2-17,30,24,19,25,17,7,100,72,44,30.11,29.98,29.76,7,6,2,25,9,32,0.00,6,Snow,37<br />
2008-2-18,46,34,21,18,10,7,68,43,20,30.09,30.04,29.97,,,,26,10,30,0.00,5,,266<br />
2008-2-19,59,42,26,19,12,7,64,35,15,30.04,29.95,29.86,,,,13,8,,0.00,2,,176<br />
2008-2-20,42,34,26,27,22,18,93,65,42,29.99,29.89,29.82,7,7,7,10,7,,0.00,5,,283<br />
2008-2-21,46,35,24,27,24,21,100,67,42,29.90,29.86,29.80,10,10,6,15,6,18,0.00,5,,103<br />
2008-2-22,51,38,26,25,21,14,86,58,24,29.89,29.81,29.74,10,10,10,12,6,,0.00,3,,171<br />
2008-2-23,50,40,30,27,24,21,80,60,35,30.10,29.88,29.70,,,,16,8,22,0.00,4,,269<br />
2008-2-24,60,44,28,32,24,16,70,47,25,30.06,29.85,29.64,,,,20,10,24,0.00,4,,225<br />
2008-2-25,44,37,28,32,27,19,100,75,37,30.31,30.02,29.65,10,8,5,24,10,33,0.01,7,Snow,28<br />
2008-2-26,44,34,24,27,22,18,100,73,39,30.43,30.34,30.23,10,6,2,14,7,,0.03,4,Snow,142<br />
2008-2-27,59,42,26,21,18,10,74,47,17,30.26,30.08,29.83,7,7,7,10,7,,0.00,3,,151<br />
2008-2-28,59,47,35,25,20,16,60,37,19,30.05,29.89,29.76,,,,18,9,24,0.00,4,,38<br />
2008-2-29,60,43,26,27,20,5,86,44,12,30.28,30.13,30.01,,,,21,9,25,0.00,3,,168<br />
