
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2009-2-1,44,34,24,18,13,7,64,42,23,30.26,30.09,29.80,7,7,7,28,13,36,0.00,3,,115<br />
2009-2-2,50,41,32,16,8,0,39,27,19,30.22,30.14,30.05,7,7,7,21,13,31,0.00,5,,287<br />
2009-2-3,55,42,30,21,18,16,60,43,23,30.39,30.28,30.16,,,,14,8,,0.00,1,,186<br />
2009-2-4,66,48,30,19,7,-11,56,27,5,30.35,30.22,30.10,7,7,7,15,11,,0.00,0,,183<br />
2009-2-5,66,50,33,9,0,-13,30,17,4,30.14,30.01,29.82,,,,16,8,,0.00,3,,170<br />
2009-2-6,59,47,32,14,10,7,44,22,14,29.87,29.75,29.63,7,7,7,25,17,33,0.00,3,,233<br />
2009-2-7,53,42,32,21,17,12,60,39,24,30.20,30.05,29.85,7,7,7,20,12,32,0.00,5,,156<br />
2009-2-8,48,40,32,32,25,19,75,63,49,30.13,29.85,29.48,7,7,7,16,9,17,0.00,6,,195<br />
2009-2-9,51,40,26,32,17,3,100,55,15,29.53,29.39,29.25,5,2,0,36,9,39,0.00,4,Fog,253<br />
2009-2-10,41,34,28,30,19,9,100,61,31,29.87,29.69,29.49,7,6,2,18,10,24,0.00,6,Snow,337<br />
2009-2-11,46,32,19,27,11,5,93,51,18,30.04,29.94,29.86,7,7,7,22,8,31,0.00,2,,219<br />
2009-2-12,44,32,21,27,13,7,100,50,25,30.09,29.98,29.83,10,5,1,22,9,25,0.00,4,Snow,193<br />
2009-2-13,30,24,19,23,21,16,100,83,69,30.13,30.05,29.88,10,7,3,22,7,26,0.01,6,Snow,47<br />
2009-2-14,32,24,17,21,19,14,93,80,60,30.11,29.94,29.79,10,8,6,16,7,26,0.01,6,Snow,330<br />
2009-2-15,46,30,15,21,10,0,93,55,15,30.25,30.13,30.02,7,6,0,21,8,26,0.00,2,Fog,171<br />
2009-2-16,59,41,23,18,7,0,59,29,10,29.99,29.85,29.69,7,7,7,15,8,,0.00,3,,160<br />
2009-2-17,50,39,28,14,8,-4,47,29,11,29.72,29.58,29.46,,,,31,14,48,0.00,2,,240<br />
2009-2-18,46,35,24,21,13,5,80,44,18,30.18,29.96,29.71,,,,16,8,23,0.00,5,,261<br />
2009-2-19,48,36,23,18,7,3,69,37,17,30.32,30.22,30.15,,,,17,7,25,0.00,1,,244<br />
2009-2-20,57,36,10,18,2,-13,93,39,7,30.29,30.04,29.83,7,6,3,37,14,41,0.03,5,Snow,271<br />
2009-2-21,48,27,6,19,11,1,85,53,22,30.36,30.28,30.19,7,7,7,13,9,,0.00,0,,144<br />
2009-2-22,60,42,24,16,10,-2,59,35,8,30.28,30.18,30.06,7,7,7,13,8,,0.00,4,,170<br />
2009-2-23,64,46,28,32,23,12,55,39,24,30.14,30.01,29.90,7,7,7,16,7,17,0.00,6,,266<br />
2009-2-24,66,52,37,30,21,12,65,34,15,29.93,29.87,29.77,,,,17,8,21,0.00,1,,217<br />
2009-2-25,64,50,37,23,17,12,45,29,17,29.96,29.81,29.66,,,,29,13,40,0.00,5,,186<br />
2009-2-26,57,44,32,25,18,9,56,37,14,29.84,29.76,29.69,,,,26,11,29,0.00,2,,312<br />
2009-2-27,39,29,17,25,13,-4,93,61,19,30.40,30.03,29.80,10,7,7,29,9,37,0.00,3,Snow,6<br />
2009-2-28,44,30,15,12,4,-2,79,40,14,30.55,30.48,30.38,7,7,7,13,9,,0.00,1,,139<br />
