
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-12-1,55,42,28,21,20,14,64,44,26,30.09,30.04,29.95,,,,21,7,26,0.00,6,,209<br />
2010-12-2,57,44,32,23,21,18,65,46,21,30.13,30.06,29.88,,,,18,8,,0.00,5,,169<br />
2010-12-3,68,47,26,27,21,14,93,39,12,30.17,29.90,29.75,,,,33,12,41,0.00,6,,187<br />
2010-12-4,42,30,17,23,18,14,93,64,38,30.41,30.31,30.20,,,,16,7,,0.00,4,,175<br />
2010-12-5,35,29,23,19,17,14,80,71,52,30.48,30.40,30.30,,,,8,4,,0.00,5,,259<br />
2010-12-6,51,36,21,25,22,18,93,64,35,30.42,30.24,30.08,,,,8,4,,0.00,5,,232<br />
2010-12-7,46,36,26,27,21,16,75,57,37,30.35,30.20,30.06,7,7,7,16,7,25,0.00,4,Snow,236<br />
2010-12-8,57,42,28,19,11,5,69,33,12,30.26,30.08,29.85,,,,13,9,,0.00,4,,191<br />
2010-12-9,57,47,35,19,16,9,48,32,19,30.01,29.94,29.84,,,,16,9,29,0.00,6,,5<br />
2010-12-10,55,44,32,28,19,14,57,41,23,29.94,29.83,29.68,,,,22,14,34,0.00,5,,238<br />
2010-12-11,39,28,15,14,9,3,68,50,24,30.43,30.21,29.94,,,,26,9,33,0.00,3,,51<br />
2010-12-12,50,32,15,27,18,5,68,50,32,30.38,30.22,30.01,,,,16,7,,0.00,3,,243<br />
2010-12-13,60,50,39,23,13,7,45,25,13,29.99,29.93,29.85,,,,16,9,,0.00,4,,247<br />
2010-12-14,66,52,37,19,12,7,48,24,10,29.87,29.67,29.47,,,,15,8,,0.00,5,,159<br />
2010-12-15,51,38,24,32,24,10,100,65,27,29.93,29.66,29.42,7,6,1,22,9,31,0.00,7,Rain-Snow,85<br />
2010-12-16,35,26,17,21,14,9,86,59,44,30.15,30.05,29.93,7,7,7,14,7,,0.00,7,,123<br />
2010-12-17,30,24,17,19,15,10,93,72,55,30.20,30.11,30.04,7,7,7,12,5,,0.00,6,Snow,132<br />
2010-12-18,39,26,12,19,14,9,93,65,39,30.05,29.92,29.79,,,,10,5,,0.00,3,,164<br />
2010-12-19,57,39,21,27,22,16,86,56,27,29.76,29.64,29.44,,,,12,5,,0.00,4,,159<br />
2010-12-20,55,40,23,32,23,10,59,47,32,29.85,29.59,29.33,,,,24,16,33,0.00,5,,160<br />
2010-12-21,35,27,19,21,17,10,93,69,52,30.28,30.07,29.83,10,10,10,9,7,,0.00,6,,255<br />
2010-12-22,42,30,19,23,20,16,93,74,46,30.30,30.19,30.03,7,7,6,9,5,,0.00,5,,201<br />
2010-12-23,53,35,17,32,24,16,100,76,35,30.19,30.02,29.89,7,6,0,17,5,,0.00,6,Fog-Rain-Snow,40<br />
2010-12-24,44,34,23,28,22,16,100,69,42,30.43,30.31,30.18,7,7,7,10,6,,0.00,5,,138<br />
2010-12-25,51,35,19,21,15,7,86,56,16,30.49,30.34,30.13,,,,13,8,,0.00,2,,180<br />
2010-12-26,51,38,24,19,16,12,64,50,22,30.09,29.96,29.80,,,,9,4,,0.00,3,,187<br />
2010-12-27,48,36,24,18,13,9,64,44,20,30.11,30.04,29.91,,,,20,7,20,0.00,5,,137<br />
2010-12-28,50,37,24,12,8,3,59,36,16,30.06,29.88,29.61,,,,23,12,,0.00,3,,186<br />
2010-12-29,53,42,32,16,10,-2,48,29,18,29.55,29.21,29.04,,,,24,14,29,0.00,5,,181<br />
2010-12-30,35,19,3,27,13,0,93,76,44,29.65,29.37,29.09,7,4,1,20,11,26,0.16,8,Snow,50<br />
2010-12-31,6,2,-2,0,-3,-9,85,78,66,30.03,29.80,29.45,7,4,2,15,11,,0.15,7,Snow,22<br />
