
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2009-12-1,55,39,23,23,16,9,100,53,15,30.00,29.85,29.71,7,6,5,23,9,30,0.00,5,Snow,58<br />
2009-12-2,23,16,8,21,11,5,100,83,67,30.27,30.14,29.99,7,5,2,20,10,24,0.10,7,Snow,15<br />
2009-12-3,14,8,1,7,2,-4,92,78,62,30.44,30.32,30.06,7,7,3,12,5,,0.03,5,Snow,114<br />
2009-12-4,33,19,5,7,2,-4,72,47,21,30.32,30.03,29.77,7,7,7,17,10,22,0.00,2,,202<br />
2009-12-5,35,25,15,19,10,1,80,55,29,29.97,29.82,29.68,10,8,7,14,6,,0.00,5,,23<br />
2009-12-6,15,9,3,12,8,0,93,84,68,30.20,30.03,29.84,10,4,1,14,6,,0.28,8,Snow,62<br />
2009-12-7,6,4,3,3,2,0,92,87,79,30.18,30.01,29.63,10,7,5,8,4,,0.01,8,Snow,332<br />
2009-12-8,6,0,-9,1,-3,-15,92,84,72,30.09,29.80,29.41,7,5,2,15,7,,0.01,6,Snow,330<br />
2009-12-9,14,0,-13,1,-9,-18,85,67,38,30.09,30.02,29.91,7,7,7,13,6,,0.00,1,,126<br />
2009-12-10,26,16,5,9,-2,-11,73,53,35,30.13,30.04,29.96,,,,14,9,,0.00,1,,151<br />
2009-12-11,41,24,8,18,6,-4,74,48,26,30.11,29.98,29.85,7,7,7,10,7,,0.00,3,,161<br />
2009-12-12,46,35,24,19,13,5,59,43,31,29.87,29.80,29.72,7,7,7,13,8,,0.00,5,,211<br />
2009-12-13,50,41,32,28,21,12,70,48,32,29.79,29.59,29.44,7,7,7,34,15,46,0.00,5,,221<br />
2009-12-14,46,35,24,16,13,9,59,41,22,30.19,29.96,29.68,7,7,7,15,10,,0.00,1,,255<br />
2009-12-15,53,38,23,16,9,1,59,36,13,30.31,30.21,30.13,,,,15,10,,0.00,4,,191<br />
2009-12-16,55,45,35,25,16,9,60,35,21,30.17,30.12,30.05,,,,12,6,,0.00,6,,214<br />
2009-12-17,51,40,26,27,21,18,80,51,26,30.22,30.13,30.04,,,,24,9,30,0.00,4,,166<br />
2009-12-18,41,32,23,27,20,14,93,68,42,30.30,30.25,30.19,7,7,7,12,6,,0.00,5,,125<br />
2009-12-19,50,34,19,18,10,-9,80,51,8,30.28,30.15,30.04,7,7,7,12,7,,0.00,3,,197<br />
2009-12-20,55,40,26,19,16,10,59,40,20,30.22,30.07,29.91,7,7,7,14,6,,0.00,4,,175<br />
2009-12-21,55,46,37,21,13,3,52,32,12,29.92,29.85,29.78,7,7,7,20,9,,0.00,5,,174<br />
2009-12-22,44,38,30,32,23,16,100,65,34,29.79,29.70,29.59,7,4,2,24,10,,0.03,8,Snow,232<br />
2009-12-23,28,21,12,28,22,10,100,99,92,30.19,29.92,29.70,6,3,1,21,9,26,0.29,8,Snow,355<br />
2009-12-24,19,8,-2,9,3,-6,92,72,42,30.32,30.14,29.96,7,6,2,15,7,,0.06,3,Snow,167<br />
2009-12-25,23,14,5,19,8,-4,100,69,46,30.02,29.96,29.77,7,6,3,20,11,,0.03,7,Snow,339<br />
2009-12-26,28,22,17,23,18,14,100,86,59,30.19,30.05,29.85,7,5,2,14,5,,0.08,7,Snow,337<br />
2009-12-27,23,16,10,16,10,5,86,73,63,30.46,30.32,30.17,7,7,7,13,8,,0.00,3,,145<br />
2009-12-28,32,22,12,18,11,5,80,68,48,30.54,30.41,30.25,7,7,7,15,9,,0.00,1,,179<br />
2009-12-29,32,24,17,18,15,12,80,68,51,30.21,30.00,29.88,,,,7,4,,0.00,6,,190<br />
2009-12-30,32,26,19,19,14,7,86,65,44,30.06,29.92,29.85,,,,17,7,,0.00,6,,158<br />
2009-12-31,33,22,12,16,9,5,93,63,32,30.34,30.25,30.10,7,7,7,14,7,,0.00,2,,189<br />
