
MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-5-1,37,30,23,37,30,21,100,100,93,30.69,30.30,29.97,10,5,1,21,10,,0.12,8,Rain-Snow,13<br />
2013-5-2,44,32,19,25,20,14,100,69,33,30.78,30.64,30.45,10,8,7,8,4,,0.00,3,Snow,291<br />
2013-5-3,59,44,30,27,22,18,69,45,23,30.41,30.18,30.04,10,10,10,18,9,22,0.00,2,,97<br />
2013-5-4,57,46,35,32,27,25,70,52,31,30.17,30.08,30.02,10,10,10,16,8,,0.00,4,,105<br />
2013-5-5,57,46,35,32,26,21,61,46,29,30.15,30.09,30.00,10,10,10,13,7,17,0.00,7,,251<br />
2013-5-6,62,52,42,39,31,21,76,44,32,30.04,29.91,29.82,,,,15,9,,0.00,6,,251<br />
2013-5-7,69,56,44,48,38,32,100,59,25,30.03,29.86,29.77,10,10,7,13,7,21,0.11,6,Rain-Thunderstorm,322<br />
2013-5-8,57,50,42,48,44,39,100,92,59,30.11,29.97,29.84,10,8,3,21,8,31,0.90,6,Rain-Thunderstorm,242<br />
2013-5-9,57,50,42,48,44,41,100,87,58,30.20,30.12,30.01,10,10,5,18,7,29,0.09,6,Rain-Thunderstorm,280<br />
2013-5-10,64,50,37,43,39,34,100,67,32,30.22,30.16,30.12,10,10,10,14,6,23,0.00,4,Thunderstorm,258<br />
2013-5-11,66,54,42,46,39,32,87,61,28,30.34,30.25,30.15,10,10,10,20,7,24,0.06,3,Rain-Thunderstorm,183<br />
2013-5-12,75,60,46,41,36,32,66,41,22,30.14,30.07,29.98,10,10,10,16,8,17,0.00,4,,237<br />
2013-5-13,80,66,53,41,37,34,51,35,20,30.06,29.97,29.88,10,10,10,13,8,,0.00,5,,207<br />
2013-5-14,84,70,57,45,39,34,48,36,16,30.00,29.84,29.78,10,10,10,29,11,37,0.00,5,Rain-Thunderstorm,205<br />
2013-5-15,78,66,53,50,43,36,88,50,23,30.04,29.83,29.73,10,8,7,26,10,28,0.02,6,Rain-Thunderstorm,206<br />
2013-5-16,80,65,50,50,42,32,88,48,18,29.80,29.73,29.64,10,10,10,15,6,22,0.00,4,,189<br />
2013-5-17,84,68,53,46,32,19,77,33,10,29.76,29.67,29.57,10,10,10,16,11,21,0.00,4,,203<br />
2013-5-18,73,62,50,39,31,21,66,32,19,29.76,29.68,29.59,10,10,10,25,8,32,0.00,5,,177<br />
2013-5-19,68,57,46,39,34,25,71,48,21,29.82,29.70,29.62,10,10,10,33,8,47,0.01,6,Thunderstorm,196<br />
2013-5-20,60,52,44,46,41,34,100,70,39,29.98,29.86,29.73,10,9,7,18,8,25,0.13,6,Rain-Thunderstorm,65<br />
2013-5-21,68,55,42,43,35,30,87,51,26,29.99,29.88,29.77,,,,18,7,21,0.00,4,,64<br />
2013-5-22,75,58,41,50,37,32,94,51,21,30.09,29.86,29.75,10,8,7,33,9,41,0.03,5,Rain-Thunderstorm,132<br />
2013-5-23,68,57,46,48,46,43,100,69,40,29.98,29.92,29.86,10,10,10,26,12,33,0.00,3,,143<br />
2013-5-24,86,70,53,55,39,14,88,46,7,29.85,29.79,29.71,10,10,10,28,18,34,0.00,4,,215<br />
2013-5-25,84,68,53,57,38,12,100,47,7,29.86,29.77,29.67,10,8,7,13,7,22,0.00,4,,202<br />
2013-5-26,84,70,55,45,33,18,55,29,8,29.93,29.73,29.69,10,10,10,29,8,44,0.00,5,Thunderstorm,203<br />
2013-5-27,82,68,55,45,31,12,67,30,8,29.94,29.66,29.57,10,10,10,28,8,40,0.00,4,Rain-Thunderstorm,204<br />
2013-5-28,80,63,46,43,37,27,82,41,14,29.70,29.55,29.39,,,,23,10,33,0.00,4,Thunderstorm,193<br />
2013-5-29,62,55,48,50,43,32,100,65,41,29.71,29.56,29.44,10,9,5,21,8,28,0.18,6,Rain-Thunderstorm,351<br />
2013-5-30,68,56,44,32,28,21,61,34,17,29.77,29.62,29.57,10,10,10,25,13,38,0.00,2,,278<br />
2013-5-31,69,58,48,30,18,7,50,22,9,29.89,29.78,29.72,10,10,10,24,11,38,0.00,2,,294<br />
